Open,High,Low,Close,Volume
1213601,1213700,1213601,1213700,354
1215000,1215000,1213640,1213970,8002
1214000,1214100,1213800,1213801,8423
1214000,1214100,1213800,1213810,2986
1213900,1214100,1213900,1214100,1150
1213901,1214100,1213600,1213601,8834
1213603,1213900,1213603,1213700,1522
1213890,1213890,1213600,1213600,4606
1213500,1213500,1213301,1213301,3508
1213300,1213400,1213300,1213400,1900
1213399,1213399,1213390,1213390,108
1213310,1213400,1213200,1213220,1601
1213399,1213399,1213200,1213200,600
1213300,1213399,1213201,1213201,250
1213399,1213399,1213380,1213380,83
1213200,1215000,1213000,1213100,6996
1213201,1213201,1213000,1213020,1392
1213000,1215000,1213000,1213200,7937
1213200,1213200,1213199,1213200,778
1213010,1215000,1213000,1213050,4699
1213196,1213198,1213100,1213198,732
1213080,1213199,1213080,1213160,2772
1213100,1213100,1213000,1213000,7025
1213145,1213200,1213145,1213175,525
1213153,1213153,1213153,1213153,3000
1213200,1213201,1213200,1213200,4613
1213200,1213200,1213200,1213200,503
1213200,1213200,1213199,1213199,200
1213200,1213200,1213112,1213112,590
1213200,1213200,1213000,1213100,14301
1215000,1215000,1213000,1213100,122
1213100,1213100,1213000,1213100,1075
1213100,1215000,1213100,1215000,1020
1213000,1213100,1213000,1213100,5064
1213150,1213150,1213100,1213100,1100
1213150,1215000,1213150,1213500,6000
1213600,1213600,1213400,1213400,965
1213550,1215000,1213501,1213552,1040
1215000,1215000,1213300,1213399,3767
1213400,1215000,1213390,1213399,103
1215000,1215000,1213200,1213300,6788
1213250,1213250,1213201,1213201,214
1213300,1213300,1213300,1213300,50
1213300,1215000,1213200,1213225,505
1213300,1213300,1213200,1213200,1084
1213200,1213300,1213100,1213100,2938
1213100,1213700,1213100,1213700,6330
1213600,1213970,1213600,1213900,6409
1213800,1214000,1213800,1213850,7300
1213900,1214100,1213900,1214100,2120
1214100,1214100,1214100,1214100,36
1214050,1215000,1214000,1215000,5022
1214006,1214100,1214000,1214020,2316
1214100,1214100,1214100,1214100,3000
1214100,1214800,1214100,1214600,14923
1214600,1214800,1214200,1214300,14874
1214300,1214700,1214200,1214600,11772
1214700,1214900,1214700,1214900,2668
1214900,1214901,1214650,1214900,2352
1215000,1215100,1214950,1215100,18694
1215100,1215100,1215000,1215000,3313
1214700,1215000,1214700,1214900,9986
1214872,1215090,1214800,1214800,7879
1215090,1215090,1214900,1215000,2478
1215001,1215200,1215000,1215100,7894
1215099,1215100,1215075,1215075,3191
1215100,1215100,1215000,1215010,1702
1215100,1215100,1215100,1215100,500
1215100,1215100,1214900,1214900,8220
1214900,1215500,1214900,1215500,8311
1215500,1217200,1215500,1217100,26046
1217100,1217100,1215000,1217002,8565
1217180,1217200,1216901,1216901,1825
1217199,1217200,1215000,1217199,4378
1216900,1216900,1216600,1216735,10226
1216700,1216820,1216700,1216700,6403
1216731,1216900,1216645,1216700,2892
1216600,1217100,1216500,1217100,7603
1217299,1217700,1217100,1217600,26932
1217500,1218400,1217500,1218100,15490
1218000,1218000,1217900,1217900,6335
1217820,1217980,1217700,1217799,9255
1217700,1217900,1217600,1217600,7186
1217700,1217900,1217600,1217725,2935
1217788,1217799,1217700,1217700,3271
1217700,1217700,1217440,1217440,6500
1217800,1217800,1217300,1217300,3146
1217300,1217399,1217200,1217220,3006
1217300,1217300,1217200,1217200,12886
1217180,1217400,1216700,1216700,15224
1216700,1216700,1216700,1216700,1014
1217300,1217400,1215000,1216701,2170
1216800,1216800,1216600,1216600,2721
1216700,1216800,1216700,1216700,1675
1216700,1216700,1216500,1216500,2076
1216500,1216500,1216401,1216500,2538
1216480,1216500,1216480,1216500,2694
1216500,1216500,1216500,1216500,486
1216430,1216500,1216430,1216490,6413
